season,hero_winrate,hero_ci_lower,hero_ci_upper,nonhero_winrate,nonhero_ci_lower,nonhero_ci_upper,winrate_gap,n_games
Season 1,0.5142436149312377,0.50603715183358,0.5224500780288954,0.4857563850687623,0.4775499219711045,0.49396284816642005,0.028487229862475427,14252
Season 2,0.5054122052542274,0.49791581169409255,0.5129085988143621,0.49458779474577264,0.4870914011856378,0.5020841883059074,0.01082441050845473,17091
Season 3,0.5184013801035078,0.5066564401441245,0.5301463200628911,0.4815986198964922,0.4698536799371089,0.4933435598558755,0.03680276020701556,6956
Season 4,0.5172360248447205,0.5050283674620324,0.5294436822274087,0.4827639751552795,0.4705563177725913,0.4949716325379677,0.03447204968944101,6440
Season 5,0.5067001675041876,0.49597962403316515,0.5174207109752099,0.4932998324958124,0.48257928902478997,0.5040203759668348,0.013400335008375175,8358
