season,hero_winrate,hero_ci_lower,hero_ci_upper,nonhero_winrate,nonhero_ci_lower,nonhero_ci_upper,winrate_gap,n_games
Season 1,0.5038294038143866,0.4989266078823116,0.5087321997464616,0.49617059618561343,0.4912678002535384,0.5010733921176884,0.007658807628773134,39954
Season 2,0.5059695435808719,0.5014407485725755,0.5104983385891683,0.4940304564191282,0.48950166141083185,0.4985592514274245,0.011939087161743689,46821
Season 3,0.5061172175399076,0.5000098912254309,0.5122245438543842,0.49388278246009243,0.4877754561456156,0.49999010877456923,0.012234435079815142,25747
Season 4,0.513710781083684,0.5067358508484032,0.5206857113189647,0.4862892189163161,0.47931428868103537,0.49326414915159683,0.027421562167367852,19729
Season 5,0.5039314551673072,0.4981121639417953,0.5097507463928191,0.4960685448326928,0.49024925360718086,0.5018878360582048,0.007862910334614392,28361
