season,hero_winrate,nonhero_winrate,winrate_gap,hero_vs_nonhero_games,t_statistic,p_value,significant
Season 1,0.5038294038143866,0.49617059618561343,0.007658807628773134,39954,2.1650283835260473,0.03038846177975698,True
Season 2,0.5059695435808719,0.4940304564191282,0.011939087161743689,46821,3.6536991156182808,0.00025863017213486765,True
Season 3,0.5061172175399076,0.49388278246009243,0.012234435079815142,25747,2.776427302097857,0.005497977249826618,True
Season 4,0.513710781083684,0.4862892189163161,0.027421562167367852,19729,5.4489404710548595,5.097336188402956e-08,True
Season 5,0.5039314551673072,0.4960685448326928,0.007862910334614392,28361,1.8726855520976848,0.06111695968435472,False
