season,hero_winrate,nonhero_winrate,winrate_gap,hero_vs_nonhero_games,t_statistic,p_value,significant
Season 1,0.5142436149312377,0.4857563850687623,0.028487229862475427,14252,4.811319295684778,1.5070346471338553e-06,True
Season 2,0.5054122052542274,0.49458779474577264,0.01082441050845473,17091,2.001316277093267,0.045366207577474324,True
Season 3,0.5184013801035078,0.4815986198964922,0.03680276020701556,6956,4.34348443887159,1.4123348380793714e-05,True
Season 4,0.5172360248447205,0.4827639751552795,0.03447204968944101,6440,3.91425857623169,9.114930849257754e-05,True
Season 5,0.5067001675041876,0.4932998324958124,0.013400335008375175,8358,1.7325862010141826,0.0831876900140059,False
